Wavenumber,Filter response
12176,0.002843
12177,0.002817
12178,0.00279
12179,0.002764
12180,0.002738
12181,0.002711
12182,0.002685
12183,0.002667
12184,0.00265
12185,0.002633
12186,0.002616
12187,0.002599
12188,0.002582
12189,0.002565
12190,0.002548
12191,0.002531
12192,0.002514
12193,0.002496
12194,0.002479
12195,0.002462
12196,0.002445
12197,0.002428
12198,0.002411
12199,0.002394
12200,0.002377
12201,0.00236
12202,0.002343
12203,0.002326
12204,0.002309
12205,0.002292
12206,0.002275
12207,0.002257
12208,0.00224
12209,0.002224
12210,0.00221
12211,0.002196
12212,0.002182
12213,0.002168
12214,0.002154
12215,0.00214
12216,0.002127
12217,0.002113
12218,0.002099
12219,0.002085
12220,0.002071
12221,0.002057
12222,0.002043
12223,0.002029
12224,0.002015
12225,0.002001
12226,0.001987
12227,0.001975
12228,0.001964
12229,0.001952
12230,0.001941
12231,0.00193
12232,0.001919
12233,0.001907
12234,0.001896
12235,0.001885
12236,0.001874
12237,0.001862
12238,0.001851
12239,0.00184
12240,0.001829
12241,0.001817
